letter,mean,std
O,0.941941615150397,0.04408361867229101
H,0.9269717083944505,0.060748443413193874
B,0.8958401224986106,0.08813885973320314
U,0.8944555627880514,0.08522399718695306
N,0.8918155819736291,0.08134297228686983
M,0.8910942570774825,0.08403693002199232
X,0.8872147282618039,0.09689658048816645
Q,0.8843803235293664,0.07030466160182182
D,0.8773732303764333,0.08519951896486944
G,0.8676689652409172,0.11185382104927558
I,0.8635361965245286,0.11285644083971047
S,0.8621228186529821,0.11331149689506315
Z,0.8554341272263893,0.12018246047793353
R,0.8536704800771235,0.10833370047940877
W,0.840634955030757,0.11260496218759505
P,0.7992905737453659,0.1060641679821988
K,0.7971336820757537,0.12509201572404322
A,0.7964133345902957,0.12711274266569153
C,0.7954798969462291,0.1261187475590253
V,0.7742160946036963,0.12400886513935529
J,0.7634685969692567,0.15435403530266706
E,0.7522084839101001,0.12289379229727607
F,0.7472759523898815,0.15191300321804568
Y,0.7427757210328576,0.14803357955008364
T,0.6765290013891229,0.14384852680954657
L,0.633568513805417,0.18114301069155
