Digit,Samples,Group1_count,Group2_count,G2_TLBL_nb1>0_count,G2_TLBL_nb1==0_count,G2_TLBR_nb2>0_count,G2_TRBR_nb3>0_count,G2_TRBR_nb3==0_count,G2_stems==2_count,G2_stems>0_count,G2_stems==0_count,case:nb1=0_then_tlbr,case:nb1>0_stems=0_then_trbr,case:nb1>0_stems>0,case:nb1>0_stems=2
0,105,95,10,2,8,4,2,8,0,0,10,8.0,2.0,,
1,79,0,79,59,20,4,2,77,11,46,33,20.0,13.0,35.0,11.0
2,70,2,68,64,4,3,1,67,3,62,6,4.0,2.0,59.0,3.0
3,50,1,49,49,0,0,20,29,1,8,41,,41.0,7.0,1.0
4,47,25,22,18,4,4,4,18,9,14,8,4.0,4.0,5.0,9.0
5,64,3,61,54,7,5,0,61,4,54,7,7.0,,50.0,4.0
6,64,53,11,7,4,2,1,10,0,6,5,4.0,1.0,6.0,
7,48,3,45,44,1,0,4,41,1,26,19,1.0,18.0,25.0,1.0
8,32,29,3,3,0,0,2,1,0,1,2,,2.0,1.0,
9,34,31,3,3,0,0,2,1,0,0,3,,3.0,,
